,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
2,transfer,1000,0,400.8,2.74,1.39,1.98,250.9,140.94,50.43,15.19,15.19,4,bhs,400,2.50,0,10,8
0,open,1000,0,400.0,2.68,1.33,2.02,245.8,115.8,37.82,15.129999999999999,15.129999999999999,4,bhs,400,2.50,0,10,5
1,query,1000,0,400.5,0.01,0.0,0.0,400.2,17.14,8.19,0.3914,0.3914,4,bhs,400,2.50,0,10,5
2,transfer,1000,0,400.3,2.66,1.36,2.0,247.3,133.38,43.18,15.52,15.52,4,bhs,400,2.50,0,10,5
0,open,1000,0,400.0,4.25,2.01,3.02,214.1,144.36,48.07,14.889999999999999,14.889999999999999,4,bhs,400,2.50,0,10,2
1,query,1000,0,400.3,0.01,0.0,0.0,400.0,20.15,12.39,0.3818,0.3818,4,bhs,400,2.50,0,10,2
2,transfer,1000,0,401.6,2.73,1.33,1.93,256.2,135.58,46.27,15.459999999999999,15.459999999999999,4,bhs,400,2.50,0,10,2
0,open,1000,0,401.1,2.71,1.11,1.81,249.2,113.57,30.23,14.719999999999999,14.719999999999999,4,bhs,400,2.50,0,10,6
1,query,1000,0,400.5,0.01,0.0,0.0,400.2,15.69,8.12,0.3867,0.3867,4,bhs,400,2.50,0,10,6
2,transfer,1000,0,401.3,2.64,1.32,1.96,249.5,133.11,40.83,15.459999999999999,15.459999999999999,4,bhs,400,2.50,0,10,6
0,open,1000,0,398.6,5.15,2.49,3.83,192.0,110.58,40.48,18.959999999999997,18.959999999999997,4,bhs,400,2.50,0,10,7
1,query,1000,0,398.6,0.01,0.0,0.0,398.2,19.73,12.05,0.3996,0.3996,4,bhs,400,2.50,0,10,7
2,transfer,1000,0,401.3,2.68,1.42,1.95,251.8,140.06,48.23,15.07,15.07,4,bhs,400,2.50,0,10,7
0,open,1000,0,400.2,2.88,1.26,2.09,243.1,110.37,38.23,15.549999999999999,15.549999999999999,4,bhs,400,2.50,0,10,3
1,query,1000,0,400.2,0.01,0.0,0.0,399.8,24.36,13.04,0.3903,0.3903,4,bhs,400,2.50,0,10,3
2,transfer,1000,0,401.4,2.74,1.32,2.04,246.0,124.13,43.86,15.75,15.75,4,bhs,400,2.50,0,10,3
0,open,1000,0,400.0,2.74,1.3,1.95,256.5,122.56,41.04,14.920000000000002,14.920000000000002,4,bhs,400,2.50,0,10,4
1,query,1000,0,400.2,0.01,0.0,0.0,399.8,24.87,13.07,0.389,0.389,4,bhs,400,2.50,0,10,4
2,transfer,1000,0,401.1,2.74,1.37,1.96,254.2,139.4,46.76,15.27,15.27,4,bhs,400,2.50,0,10,4
0,open,1000,0,395.7,2.67,1.33,1.98,250.2,99.43,23.48,15.65,15.65,4,bhs,400,2.5,0,10,10
1,query,1000,0,398.9,0.01,0.0,0.0,398.7,280.32,263.04,0.3524,0.3524,4,bhs,400,2.5,0,10,10
2,transfer,1000,0,398.1,2.76,1.38,2.04,253.2,110.75,29.63,16.35,16.35,4,bhs,400,2.5,0,10,10
0,open,1000,0,396.2,4.33,2.4,3.36,188.5,130.64,44.06,58.03,58.03,12,bhs,400,2.50,0,10,1
1,query,1000,0,393.5,0.03,0.0,0.0,393.2,30.91,14.04,1.5786000000000002,1.5786000000000002,12,bhs,400,2.50,0,10,1
2,transfer,1000,0,401.8,6.62,4.04,5.32,150.9,125.81,45.75,67.31,67.31,12,bhs,400,2.50,0,10,1
0,open,1000,0,386.2,6.1,3.54,4.83,161.6,149.06,42.72,64.75,64.75,12,bhs,400,2.5,0,10,9
1,query,1000,0,398.7,0.02,0.0,0.0,398.4,18.37,10.9,1.4038,1.4038,12,bhs,400,2.5,0,10,9
2,transfer,1000,0,401.0,6.83,4.26,5.55,145.6,155.37,60.85,72.63,72.63,12,bhs,400,2.5,0,10,9
0,open,1000,0,398.4,4.91,2.49,3.78,170.9,124.38,39.29,58.629999999999995,58.629999999999995,12,bhs,400,2.50,0,10,8
1,query,1000,0,392.9,0.02,0.0,0.0,392.8,31.77,14.38,1.5285999999999997,1.5285999999999997,12,bhs,400,2.50,0,10,8
2,transfer,1000,0,401.6,4.99,2.86,3.84,184.0,137.36,42.16,62.77999999999999,62.77999999999999,12,bhs,400,2.50,0,10,8
0,open,1000,0,386.7,6.35,3.72,5.05,156.0,128.01,44.87,62.19000000000001,62.19000000000001,12,bhs,400,2.50,0,10,5
1,query,1000,0,386.7,0.01,0.0,0.0,386.4,29.63,13.93,1.6580000000000001,1.6580000000000001,12,bhs,400,2.50,0,10,5
2,transfer,1000,0,401.9,4.77,2.87,3.82,183.3,129.42,46.23,61.76,61.76,12,bhs,400,2.50,0,10,5
0,open,1000,0,398.4,5.34,2.92,4.14,159.3,125.56,45.8,60.82,60.82,12,bhs,400,2.50,0,10,2
1,query,1000,0,396.2,0.02,0.0,0.0,394.6,28.43,13.88,1.5418,1.5418,12,bhs,400,2.50,0,10,2
2,transfer,1000,0,399.8,6.55,3.96,5.26,151.4,136.18,47.31,68.25,68.25,12,bhs,400,2.50,0,10,2
0,open,1000,0,397.8,6.35,3.82,5.07,156.7,132.77,45.05,62.459999999999994,62.459999999999994,12,bhs,400,2.50,0,10,6
1,query,1000,0,397.6,0.02,0.0,0.0,397.3,27.52,13.91,1.6645,1.6645,12,bhs,400,2.50,0,10,6
2,transfer,1000,0,399.0,4.83,2.99,3.92,164.8,131.15,50.27,63.37,63.37,12,bhs,400,2.50,0,10,6
0,open,1000,0,386.8,6.3,3.65,4.99,157.3,139.18,49.88,62.8,62.8,12,bhs,400,2.50,0,10,7
1,query,1000,0,398.6,0.02,0.0,0.0,398.2,27.99,13.65,1.6400000000000001,1.6400000000000001,12,bhs,400,2.50,0,10,7
2,transfer,1000,0,400.8,5.76,3.41,4.52,156.0,127.54,45.82,66.14,66.14,12,bhs,400,2.50,0,10,7
0,open,1000,0,398.4,6.2,3.63,4.93,159.9,123.47,48.04,62.709999999999994,62.709999999999994,12,bhs,400,2.50,0,10,3
1,query,1000,0,396.2,0.01,0.0,0.0,395.9,28.25,14.23,1.608,1.608,12,bhs,400,2.50,0,10,3
2,transfer,1000,0,398.1,7.01,4.4,5.7,142.3,135.34,38.95,70.16999999999999,70.16999999999999,12,bhs,400,2.50,0,10,3
0,open,1000,0,399.7,6.22,3.62,4.93,160.1,128.34,50.17,63.24,63.24,12,bhs,400,2.50,0,10,4
1,query,1000,0,398.9,0.02,0.0,0.0,398.6,27.73,14.05,1.6470000000000005,1.6470000000000005,12,bhs,400,2.50,0,10,4
2,transfer,1000,0,401.9,6.9,4.33,5.61,144.3,129.56,39.41,69.58,69.58,12,bhs,400,2.50,0,10,4
0,open,1000,0,392.9,5.92,3.33,4.65,166.9,137.9,35.62,64.42,64.42,12,bhs,400,2.5,0,10,10
1,query,1000,0,395.4,0.01,0.0,0.0,395.3,19.87,11.22,1.4164,1.4164,12,bhs,400,2.5,0,10,10
2,transfer,1000,0,401.0,7.0,4.42,5.71,142.4,143.88,58.81,72.22,72.22,12,bhs,400,2.5,0,10,10
0,open,1000,0,401.4,2.65,1.44,1.96,249.0,117.23,30.39,15.620000000000001,15.620000000000001,4,ibft,400,2.50,0,10,1
1,query,1000,0,399.4,0.01,0.0,0.0,399.0,12.08,218.88,0.671,0.671,4,ibft,400,2.50,0,10,1
2,transfer,1000,0,401.4,2.69,1.43,1.96,250.5,131.21,37.46,16.229999999999997,16.229999999999997,4,ibft,400,2.50,0,10,1
0,open,1000,0,400.2,2.76,1.3,1.99,233.6,92.12,20.26,16.61,16.61,4,ibft,400,2.5,0,10,9
1,query,1000,0,400.5,0.01,0.0,0.0,400.2,9.04,156.48,0.599,0.599,4,ibft,400,2.5,0,10,9
2,transfer,1000,0,400.6,2.99,1.3,2.14,241.6,108.76,28.0,17.61,17.61,4,ibft,400,2.5,0,10,9
0,open,1000,0,398.4,2.79,1.27,2.04,237.0,109.43,30.07,15.98,15.98,4,ibft,400,2.50,0,10,8
1,query,1000,0,400.0,0.01,0.0,0.0,399.7,13.21,215.04000000000002,0.662,0.662,4,ibft,400,2.50,0,10,8
